N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,B_H,B_R,C,CH,DB,D_R,DI,K_D,Log_B_W,M_R,PBM,P_B,R_L,R_T,S_S,SD,S_Dbw,Si,T_W,T_WiB,W_G,XB,PC,CE,G_str,G_rex,Conn,CVNN,ICC,CV,LCCV,CSBM,WGLI,MPC,PBMF,MPE,CO,DCVI,GDI11,GDI12,GDI13,GDI21,GDI22,GDI23,GDI31,GDI32,GDI33,GDI41,GDI42,GDI43,GDI51,GDI52,GDI53,UW
0,edisonn0.xlsx,GMM,5000,2,2,2:40,normal,0.1,1,0,0,0.34,0.31,1.0,1.0,1.0,0.51,1.0,0.35,0.36,0.31,1.0,0.31,1.0,1.0,0.31,0.44,1.0,1.0,0.33,0.36,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.51,1.0,0.31,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999999999999
1,edisonn1.xlsx,GMM,5000,2,2,2:40,normal,0.1,5,0,0,0.52,0.32,1.0,1.0,1.0,0.36,1.0,0.41,0.48,0.32,1.0,0.32,1.0,1.0,0.32,0.38,1.0,1.0,0.38,0.33,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.52,1.0,0.32,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,edisonn2.xlsx,GMM,5000,2,2,2:40,normal,0.3,1,0,0,0.32,0.3,0.97,0.97,0.97,0.36,0.97,0.43,0.35,0.3,0.97,0.3,0.97,0.97,0.3,0.32,0.97,0.97,0.34,0.33,0.97,0.97,0.97,0.97,0.97,0.97,NI,0.32,0.31,0.3,0.97,NI,NI,0.97,0.97,0.97,NI,0.31,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.9726860838604888
3,edisonn3.xlsx,GMM,5000,2,2,2:40,normal,0.3,5,0,0,0.37,0.31,1.0,1.0,1.0,0.51,1.0,0.66,0.32,0.31,1.0,0.31,1.0,1.0,0.31,0.33,1.0,1.0,0.32,0.43,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.32,1.0,0.32,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,edisonn4.xlsx,GMM,5000,2,3,2:40,normal,0.1,1,0,0,0.67,0.42,1.0,1.0,0.81,0.46,0.81,0.47,0.46,0.42,1.0,0.42,0.81,0.81,0.42,0.45,1.0,0.81,0.5,0.42,1.0,0.81,0.81,0.81,1.0,0.81,NI,0.44,0.81,0.42,1.0,NI,NI,1.0,1.0,0.81,NI,0.81,0.81,0.81,0.81,1.0,1.0,1.0,0.81,0.81,1.0,0.81,0.81,0.81,1.0,1.0,1.0,0.9999999999999994
5,edisonn5.xlsx,GMM,5000,2,3,2:40,normal,0.1,5,0,0,1.0,0.42,0.53,1.0,1.0,0.54,1.0,1.0,0.54,0.42,1.0,0.42,0.53,1.0,0.42,0.45,1.0,1.0,1.0,0.51,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.44,0.53,0.42,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53,0.53,1.0,1.0
6,edisonn6.xlsx,GMM,5000,2,3,2:40,normal,0.3,1,0,0,0.39,0.34,0.34,0.73,0.73,0.41,0.73,0.35,0.63,0.34,0.73,0.34,0.73,0.73,0.34,0.36,0.73,0.73,0.34,0.57,0.73,0.34,0.73,0.73,0.73,0.73,NI,0.37,0.35,0.35,0.73,NI,NI,0.73,0.72,0.73,NI,0.34,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.7345388494778871
7,edisonn7.xlsx,GMM,5000,2,3,2:40,normal,0.3,5,0,0,1.0,0.42,0.53,1.0,1.0,0.43,0.53,1.0,0.43,0.42,1.0,0.42,0.53,1.0,0.42,0.45,1.0,1.0,1.0,0.47,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.46,0.53,0.42,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,0.53,0.53,1.0,1.0,1.0,1.0,0.53,1.0,1.0,0.53,1.0,1.0,0.53,0.53,1.0,1.0
10,edisonn10.xlsx,GMM,5000,2,4,2:40,normal,0.3,1,0,0,0.44,0.42,0.42,0.75,0.56,0.54,0.48,0.45,0.5,0.42,0.73,0.42,0.56,0.56,0.42,0.48,0.56,0.56,0.45,0.45,0.56,0.45,0.56,0.56,0.56,0.56,NI,0.48,0.43,0.42,0.56,NI,NI,0.56,0.73,0.56,NI,0.43,0.48,0.48,0.48,0.56,0.75,0.75,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,1.0
11,edisonn11.xlsx,GMM,5000,2,4,2:40,normal,0.3,5,0,0,1.0,0.52,1.0,1.0,1.0,0.62,1.0,0.63,0.68,0.52,1.0,0.52,0.84,1.0,0.52,0.54,1.0,1.0,0.56,0.68,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.6,0.84,0.53,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.71,1.0,1.000000000000001
