index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
0,0,edisonn0.xlsx,GMM,5000,2,2,2:40,normal,0.1,1,500,0,0,21,3,21,40,2,3,2,2,21,21,2,2,5,8
1,1,edisonn1.xlsx,GMM,5000,2,2,2:40,normal,0.1,5,500,0,1,21,2,21,40,2,21,18,20,21,2,2,3,21,2
2,2,edisonn2.xlsx,GMM,5000,2,2,2:40,normal,0.3,1,500,0,2,21,4,21,40,2,2,2,2,21,20,2,2,2,3
3,3,edisonn3.xlsx,GMM,5000,2,2,2:40,normal,0.3,5,500,0,3,21,2,21,40,2,13,6,2,13,21,2,3,13,11
4,4,edisonn4.xlsx,GMM,5000,2,3,2:40,normal,0.1,1,500,0,4,22,4,22,42,2,2,6,2,22,22,2,6,6,9
5,5,edisonn5.xlsx,GMM,5000,2,3,2:40,normal,0.1,5,500,0,5,22,2,22,42,2,2,19,2,22,2,2,5,22,2
6,6,edisonn6.xlsx,GMM,5000,2,3,2:40,normal,0.3,1,500,0,6,22,21,22,42,2,2,2,2,22,22,2,2,22,3
7,7,edisonn7.xlsx,GMM,5000,2,3,2:40,normal,0.3,5,500,0,7,22,3,22,42,2,8,7,7,8,22,2,4,8,12
8,8,edisonn8.xlsx,GMM,5000,2,4,2:40,normal,0.1,1,500,0,8,20,3,23,40,2,2,10,2,23,23,7,7,8,12
9,9,edisonn9.xlsx,GMM,5000,2,4,2:40,normal,0.1,5,500,0,9,22,2,23,44,2,23,23,2,23,2,2,5,23,5
10,10,edisonn10.xlsx,GMM,5000,2,4,2:40,normal,0.3,1,500,0,10,19,20,23,44,2,10,3,2,23,23,2,2,23,2
11,11,edisonn11.xlsx,GMM,5000,2,4,2:40,normal,0.3,5,500,0,11,22,2,23,44,2,19,8,19,23,23,4,5,19,13
12,12,edisonn12.xlsx,GMM,5000,2,5,2:40,normal,0.1,1,500,0,12,19,4,24,44,2,2,13,2,24,24,2,2,16,14
13,13,edisonn13.xlsx,GMM,5000,2,5,2:40,normal,0.1,5,500,0,13,22,2,24,46,2,24,22,24,24,18,2,16,24,2
14,14,edisonn14.xlsx,GMM,5000,2,5,2:40,normal,0.3,1,500,0,14,15,23,24,46,2,2,2,2,24,24,2,2,24,10
15,15,edisonn15.xlsx,GMM,5000,2,5,2:40,normal,0.3,5,500,0,15,24,4,24,46,2,2,8,2,22,4,2,9,18,14
16,16,edisonn16.xlsx,GMM,5000,2,6,2:40,normal,0.1,1,500,0,16,20,6,25,48,5,14,10,2,25,25,4,4,14,15
17,17,edisonn17.xlsx,GMM,5000,2,6,2:40,normal,0.1,5,500,0,17,22,5,25,48,5,25,25,23,25,2,3,14,25,3
18,18,edisonn18.xlsx,GMM,5000,2,6,2:40,normal,0.3,1,500,0,18,24,24,25,48,4,4,4,2,25,25,4,4,4,2
19,19,edisonn19.xlsx,GMM,5000,2,6,2:40,normal,0.3,5,500,0,19,24,4,25,48,4,6,8,2,25,25,16,8,20,15
20,20,edisonn20.xlsx,GMM,5000,2,7,2:40,normal,0.1,1,500,0,20,26,8,26,50,5,15,15,2,26,26,3,15,15,16
21,21,edisonn21.xlsx,GMM,5000,2,7,2:40,normal,0.1,5,500,0,21,25,6,26,50,5,26,26,2,26,8,3,18,26,4
22,22,edisonn22.xlsx,GMM,5000,2,7,2:40,normal,0.3,1,500,0,22,22,9,26,50,3,5,3,4,26,26,3,3,4,4
23,23,edisonn23.xlsx,GMM,5000,2,7,2:40,normal,0.3,5,500,0,23,25,11,26,50,7,2,26,2,26,26,3,9,26,16
