index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,level_0,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
0,0,edisonn0.xlsx,GMM,5000,2,2,2:40,gamma,0.1,1,500,0,0,0,0.5226325339250645,0.9888097132326981,0.5226325339250645,0.4344975268296847,0.7865109060839255,0.9888097132326981,0.7865109060839255,0.7865109060839255,0.5226325339250645,0.5226325339250645,0.7865109060839255,0.7865109060839255,0.9392480458122953,0.747133330614781
1,1,edisonn1.xlsx,GMM,5000,2,2,2:40,gamma,0.1,5,500,0,1,1,0.6712504791582241,1.0,0.6712504791582241,0.5756088412087454,0.8573992724301198,1.0,0.8573992724301198,0.8573992724301198,0.6712504791582241,0.6712504791582241,0.8573992724301198,0.8573992724301198,0.9477453600043492,0.8570329253618815
2,2,edisonn2.xlsx,GMM,5000,2,2,2:40,gamma,0.3,1,500,0,2,2,0.3778165990877241,0.7567103206686705,0.3778165990877241,0.3310154638730873,0.7470332933264192,0.7567103206686705,0.7470332933264192,0.7470332933264192,0.3778165990877241,0.3778165990877241,0.7470332933264192,0.7470332933264192,0.5630171459586729,0.5620610650305231
3,3,edisonn3.xlsx,GMM,5000,2,2,2:40,gamma,0.3,5,500,0,3,3,0.5785205749996517,0.9739897798562934,0.5785205749996517,0.4845136592305732,0.8486239204465165,0.9739897798562934,0.8486239204465165,0.8486239204465165,0.5785205749996517,0.5785205749996517,0.8486239204465165,0.8486239204465165,0.9259102875396766,0.8452824754294906
4,4,edisonn4.xlsx,GMM,5000,2,3,2:40,gamma,0.1,1,500,0,4,4,0.6109267318405422,0.9198212738892503,0.6109267318405422,0.5389239592146592,0.6920660780205187,0.9198212738892503,0.6920660780205187,0.6920660780205187,0.6109267318405422,0.6109267318405422,0.6920660780205187,0.6920660780205187,0.8934605124886008,0.8256117587539226
5,5,edisonn5.xlsx,GMM,5000,2,3,2:40,gamma,0.1,5,500,0,5,5,0.7993783480599599,0.856078785166876,0.7993783480599599,0.7248356839862037,0.7077997750675894,0.856078785166876,0.7077997750675894,0.7077997750675894,0.7993783480599599,0.7993783480599599,0.7077997750675894,0.7077997750675894,0.9753495134047993,0.7058269545981422
6,6,edisonn6.xlsx,GMM,5000,2,3,2:40,gamma,0.3,1,500,0,6,6,0.4004562967600567,0.6363218270725671,0.4004562967600567,0.36061827543953423,0.5729441797819466,0.6363218270725671,0.5729441797819466,0.5729441797819466,0.4004562967600567,0.4004562967600567,0.5729441797819466,0.5729441797819466,0.5175145614690023,0.6689812587858538
7,7,edisonn7.xlsx,GMM,5000,2,3,2:40,gamma,0.3,5,500,0,7,7,0.6577193293536765,0.821899864895569,0.6577193293536765,0.5460346664794298,0.6940523330936151,0.821899864895569,0.6940523330936151,0.6940523330936151,0.6577193293536765,0.6577193293536765,0.6940523330936151,0.6940523330936151,0.9595590120592177,0.7004587588116035
8,8,edisonn8.xlsx,GMM,5000,2,4,2:40,gamma,0.1,1,500,0,8,8,0.6922009807594229,0.7646716720062123,0.6922009807594229,0.5983971572615037,0.5014033694465045,0.7646716720062123,0.5014033694465045,0.5014033694465045,0.6922009807594229,0.6922009807594229,0.5014033694465045,0.5014033694465045,0.9926266252790046,0.8872537394408272
9,9,edisonn9.xlsx,GMM,5000,2,4,2:40,gamma,0.1,5,500,0,9,9,0.9206323405707869,0.7449857483767345,0.9206323405707869,0.795623132551511,0.5008770975060787,0.7449857483767345,0.5008770975060787,0.5008770975060787,0.9206323405707869,0.9206323405707869,0.5008770975060787,0.5008770975060787,1.0,0.9551835366795884
10,10,edisonn10.xlsx,GMM,5000,2,4,2:40,gamma,0.3,1,500,0,10,10,0.48198390587337153,0.47705676095906585,0.459825159231658,0.41667467599967584,0.4532957665557135,0.534631521570564,0.6254170178273625,0.4532957665557135,0.459825159231658,0.459825159231658,0.4532957665557135,0.4532957665557135,0.459825159231658,0.7664951979262893
