index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
0,0,edisonn0.xlsx,GMM,5000,2,2,2:40,uniform,0.1,1,500,0,0,0.5630107081680013,0.8618717861994724,0.542921952621285,0.472155053831532,0.8618717861994724,1.0000000000000007,0.9505057297296304,0.8618717861994724,0.542921952621285,0.542921952621285,0.7686777459551833,0.9505057297296304,0.6993270444497532,0.6993270444497532
1,1,edisonn1.xlsx,GMM,5000,2,2,2:40,uniform,0.1,5,500,0,1,0.8700177459956362,0.8592552003950558,0.8679648182636883,0.7080677339568157,0.8592552003950558,1.0000000000000002,0.9474188919936488,0.8592552003950558,0.8679648182636883,0.8679648182636883,0.9157923961143525,0.9474188919936488,0.908789119989401,1.0000000000000002
2,2,edisonn2.xlsx,GMM,5000,2,2,2:40,uniform,0.3,1,500,0,2,0.46853327335145317,0.7724202947182638,0.46555885060781627,0.4086358006411523,0.7724202947182638,0.9260235466358132,0.6987106143445185,0.7724202947182638,0.46555885060781627,0.46555885060781627,0.59954493834026,0.6987106143445185,0.5949499891631163,0.7724202947182638
3,3,edisonn3.xlsx,GMM,5000,2,2,2:40,uniform,0.3,5,500,0,3,0.6157700130912414,0.855894242970796,0.7218482424810233,0.543700154386859,0.855894242970796,0.9922887951004354,0.939792386915458,0.855894242970796,0.7218482424810233,0.7218482424810233,0.909086159506915,0.939792386915458,0.9016464606522421,0.855894242970796
4,4,edisonn4.xlsx,GMM,5000,2,3,2:40,uniform,0.1,1,500,0,4,0.6657397862626184,0.697667420254268,0.6879093548133642,0.5572832465294724,0.697667420254268,0.9379513311594241,0.9732988337318782,0.697667420254268,0.6879093548133642,0.6879093548133642,0.9407309932619496,0.9732988337318782,0.9360774213535918,0.8533477497666545
5,5,edisonn5.xlsx,GMM,5000,2,3,2:40,uniform,0.1,5,500,0,5,0.9029266970580151,0.7077997750675908,0.9001719488838689,0.8783680818891887,0.7077997750675908,0.9409265106234043,0.981748696290023,0.7077997750675908,0.9001719488838689,0.9001719488838689,0.9448303306673723,0.981748696290023,0.9374228635532679,0.7077997750675908
6,6,edisonn6.xlsx,GMM,5000,2,3,2:40,uniform,0.3,1,500,0,6,0.5572605701629413,0.6614161911473154,0.5523421720183561,0.48704183094309866,0.6614161911473154,0.8911464029356461,0.8440298089648381,0.6614161911473154,0.5523421720183561,0.5523421720183561,0.7278550420443036,0.8440298089648381,0.6898928516449898,0.8911464029356461
7,7,edisonn7.xlsx,GMM,5000,2,3,2:40,uniform,0.3,5,500,0,7,0.7399543577369451,0.7031173706869503,0.699004016671368,0.6208390701508572,0.7031173706869503,0.9360903176009795,0.9705121262355563,0.7031173706869503,0.699004016671368,0.699004016671368,0.9368859832332946,0.9705121262355563,0.9315510601677385,0.9189897023368916
8,8,edisonn8.xlsx,GMM,5000,2,4,2:40,uniform,0.1,1,500,0,8,0.7705198300939194,0.5086232431232266,0.7226239316020966,0.6179852759361852,0.5086232431232266,0.8281449207862247,0.9999999999999997,0.5086232431232266,0.7226239316020966,0.7226239316020966,0.9581002474862015,0.9999999999999997,0.9503826476443512,0.936819884162852
9,9,edisonn9.xlsx,GMM,5000,2,4,2:40,uniform,0.1,5,500,0,9,0.9232528864402724,0.5008770975060788,0.9208914962178778,0.79181204564753,0.5008770975060788,0.7572680940929954,0.9999999999999993,0.5008770975060788,0.9208914962178778,0.9208914962178778,0.960522002899901,0.9999999999999993,0.9539294341199162,0.9584615620591136
10,10,edisonn10.xlsx,GMM,5000,2,4,2:40,uniform,0.3,1,500,0,10,0.648218164978654,0.8139999267923796,0.6243619853696343,0.5612365885406265,0.7557442362592771,0.7557442362592771,0.7557442362592771,0.4818922567133382,0.6243619853696343,0.6243619853696343,0.7557442362592771,0.7557442362592771,0.6243619853696343,0.4818922567133382
11,11,edisonn11.xlsx,GMM,5000,2,4,2:40,uniform,0.3,5,500,0,11,0.8204212966423003,0.9552966300200193,0.8147509024346816,0.6616034764796395,0.7437608037196806,0.7437608037196806,0.7437608037196806,0.49783607455200646,0.8147509024346816,0.8147509024346816,0.7437608037196806,0.7437608037196806,0.8147509024346816,0.7437608037196806
12,12,edisonn12.xlsx,GMM,5000,2,5,2:40,uniform,0.1,1,500,0,12,0.8099461605175468,0.9078449142604186,0.7616432805601073,0.6803241686218748,0.7016233675260578,0.7016233675260578,0.7016233675260578,0.45496283978257146,0.7616432805601073,0.7616432805601073,0.7016233675260578,0.7016233675260578,0.7616432805601073,0.8853529885960661
13,13,edisonn13.xlsx,GMM,5000,2,5,2:40,uniform,0.1,5,500,0,13,0.9307802795730336,0.8228902302467056,0.9248187388727118,0.9060767670055938,0.7676112609519734,0.7676112609519734,0.7676112609519734,0.5925951186550092,0.9248187388727118,0.9248187388727118,0.7676112609519734,0.7676112609519734,0.9248187388727118,0.5925951186550092
14,14,edisonn14.xlsx,GMM,5000,2,5,2:40,uniform,0.3,1,500,0,14,0.7138348198299389,0.8158548314194598,0.703968658017753,0.6170162208936643,0.6665935189205121,0.6665935189205121,0.6665935189205121,0.4439858242290405,0.703968658017753,0.703968658017753,0.6665935189205121,0.6665935189205121,0.703968658017753,0.4439858242290405
15,15,edisonn15.xlsx,GMM,5000,2,5,2:40,uniform,0.3,5,500,0,15,0.8971433154164106,0.8847841061587367,0.8930847180005959,0.769629649254945,0.7803023005484601,0.7803023005484601,0.7803023005484601,0.5810327025480518,0.8930847180005959,0.8930847180005959,0.7803023005484601,0.7803023005484601,0.8930847180005959,0.5810327025480518
