index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
0,0,edisonn0.xlsx,GMM,5000,2,2,2:40,uniform,0.1,1,500,0,0,20,2,21,40,2,3,5,2,21,21,8,5,9,9
1,1,edisonn1.xlsx,GMM,5000,2,2,2:40,uniform,0.1,5,500,0,1,20,2,21,40,2,9,18,2,21,2,2,9,21,3
2,2,edisonn2.xlsx,GMM,5000,2,2,2:40,uniform,0.3,1,500,0,2,21,3,21,40,2,2,2,2,21,20,2,2,2,2
3,3,edisonn3.xlsx,GMM,5000,2,2,2:40,uniform,0.3,5,500,0,3,21,2,21,40,2,2,6,2,21,2,2,3,21,2
4,4,edisonn4.xlsx,GMM,5000,2,3,2:40,uniform,0.1,1,500,0,4,21,4,22,42,2,3,11,2,22,22,10,6,12,11
5,5,edisonn5.xlsx,GMM,5000,2,3,2:40,uniform,0.1,5,500,0,5,22,2,22,42,2,22,20,20,22,2,2,17,22,2
6,6,edisonn6.xlsx,GMM,5000,2,3,2:40,uniform,0.3,1,500,0,6,17,4,22,42,2,2,2,2,22,22,2,2,15,3
7,7,edisonn7.xlsx,GMM,5000,2,3,2:40,uniform,0.3,5,500,0,7,22,3,22,42,2,18,21,12,18,19,12,4,18,12
8,8,edisonn8.xlsx,GMM,5000,2,4,2:40,uniform,0.1,1,500,0,8,20,3,23,44,2,2,11,2,23,23,9,7,11,12
9,9,edisonn9.xlsx,GMM,5000,2,4,2:40,uniform,0.1,5,500,0,9,21,2,23,44,2,10,23,8,23,2,20,19,23,4
10,10,edisonn10.xlsx,GMM,5000,2,4,2:40,uniform,0.3,1,500,0,10,20,4,23,44,3,3,3,2,23,23,3,3,23,2
11,11,edisonn11.xlsx,GMM,5000,2,4,2:40,uniform,0.3,5,500,0,11,21,2,23,44,2,18,22,12,18,23,2,5,18,3
12,12,edisonn12.xlsx,GMM,5000,2,5,2:40,uniform,0.1,1,500,0,12,24,5,24,46,4,2,18,2,24,24,16,16,16,14
13,13,edisonn13.xlsx,GMM,5000,2,5,2:40,uniform,0.1,5,500,0,13,23,3,24,46,2,24,23,23,24,3,2,24,24,2
14,14,edisonn14.xlsx,GMM,5000,2,5,2:40,uniform,0.3,1,500,0,14,21,7,24,46,2,2,9,2,24,24,2,2,9,2
15,15,edisonn15.xlsx,GMM,5000,2,5,2:40,uniform,0.3,5,500,0,15,24,2,24,46,2,24,22,24,24,24,13,13,18,2
16,16,edisonn16.xlsx,GMM,5000,2,6,2:40,uniform,0.1,1,500,0,16,24,4,25,48,4,18,22,18,25,2,4,17,18,2
17,17,edisonn17.xlsx,GMM,5000,2,6,2:40,uniform,0.1,5,500,0,17,25,5,25,48,5,25,25,25,25,2,3,24,25,2
